Date,Actual_Close,Predicted_Close
2008-03-06,1293.3699951171875,1307.910087149337
2008-03-07,1273.3699951171875,1297.2632320152131
2008-03-10,1320.6500244140625,1276.980767923013
2008-03-11,1308.77001953125,1321.9730134728009
2008-03-12,1315.47998046875,1310.1468734948196
2008-03-13,1288.1400146484375,1315.4485355318416
2008-03-14,1276.5999755859375,1291.421066097513
2008-03-17,1330.739990234375,1276.0508555835897
2008-03-18,1298.4200439453125,1330.1196733077904
2008-03-19,1329.510009765625,1298.368814080742
2008-03-20,1349.8800048828125,1327.9610343269194
2008-03-24,1352.989990234375,1350.232232103485
2008-03-25,1341.1300048828125,1349.6027025945295
2008-03-26,1325.760009765625,1339.7366898567273
2008-03-27,1315.219970703125,1326.0227214158558
2008-03-28,1322.699951171875,1315.4412541000465
2008-03-31,1370.1800537109375,1322.1284285557992
2008-04-01,1367.530029296875,1370.4210713828486
2008-04-02,1369.31005859375,1367.411672116201
2008-04-03,1370.4000244140625,1370.3256458732997
2008-04-04,1372.5400390625,1372.530492294148
2008-04-07,1365.5400390625,1372.738161031985
2008-04-08,1354.489990234375,1363.8333912366534
2008-04-09,1360.550048828125,1354.5316792242077
2008-04-10,1332.8299560546875,1360.896934310164
2008-04-11,1328.3199462890625,1334.6028478975497
2008-04-14,1334.4300537109375,1329.6661357235473
2008-04-15,1364.7099609375,1335.812977169757
2008-04-16,1365.56005859375,1365.111883730489
2008-04-17,1390.3299560546875,1365.1227989575277
2008-04-18,1388.1700439453125,1390.8894343157262
2008-04-21,1375.93994140625,1387.189030008532
2008-04-22,1379.9300537109375,1374.3496319065782
2008-04-23,1388.8199462890625,1378.8730917191403
2008-04-24,1397.8399658203125,1386.8885117966245
2008-04-25,1396.3699951171875,1394.746427506046
2008-04-28,1390.93994140625,1394.597530684391
2008-04-29,1385.5899658203125,1390.0258073972036
2008-04-30,1409.3399658203125,1386.3383238978925
2008-05-01,1413.9000244140625,1408.7061230862475
2008-05-02,1407.489990234375,1413.2127680165993
2008-05-05,1418.260009765625,1406.962217126727
2008-05-06,1392.5699462890625,1418.7812204640647
2008-05-07,1397.6800537109375,1393.991349115304
2008-05-08,1388.280029296875,1397.6218846374497
2008-05-09,1403.5799560546875,1388.3725204605928
2008-05-12,1403.0400390625,1402.7887964659474
2008-05-13,1408.6600341796875,1402.532212612388
2008-05-14,1423.5699462890625,1409.218816365225
2008-05-15,1425.3499755859375,1423.2602605018035
2008-05-16,1426.6300048828125,1423.6952272466253
2008-05-19,1413.4000244140625,1426.2768341452058
2008-05-20,1390.7099609375,1412.4754158852554
2008-05-21,1394.3499755859375,1391.393641897131
2008-05-22,1375.9300537109375,1393.6812701851143
2008-05-23,1385.3499755859375,1376.0524203214811
2008-05-27,1390.8399658203125,1385.2409319130552
2008-05-28,1398.260009765625,1391.2207663862641
2008-05-29,1400.3800048828125,1398.7771021717554
2008-05-30,1385.6700439453125,1400.6022633202517
2008-06-02,1377.6500244140625,1386.2198593576918
2008-06-03,1377.199951171875,1378.2209651349242
2008-06-04,1404.050048828125,1377.1635420502025
2008-06-05,1360.6800537109375,1402.7294471723533
2008-06-06,1361.760009765625,1361.841293158183
2008-06-09,1358.43994140625,1362.3764344822
